weather_id,collision_rate,out_of_road_length,distance_to_route,incomplete_route,running_time,final_score
17,0.72,0.03,0.09,0.3,0.82,0.47200000000000003
17,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
18,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
18,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
18,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
18,0.75,0.05,0.09,0.31,0.82,0.48900000000000005
18,0.72,0.04,0.09,0.3,0.83,0.47400000000000003
18,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
18,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
18,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
18,0.78,0.03,0.09,0.31,0.82,0.49900000000000005
18,0.81,0.02,0.08,0.31,0.78,0.5050000000000001
19,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
19,0.78,0.03,0.09,0.3,0.82,0.49600000000000005
19,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
19,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
19,0.75,0.03,0.09,0.3,0.84,0.48600000000000004
19,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
19,0.75,0.05,0.09,0.3,0.82,0.48600000000000004
19,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
19,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
19,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
20,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
20,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
20,0.75,0.05,0.09,0.32,0.88,0.49800000000000005
20,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
20,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
20,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
20,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
20,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
